epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0168,1.52076,10.3757,0.73194,4.1898,1.99332,0.00517,0.83333,0.23432,0.04205,0,0,0,0,2.03361,10.3595,0.68671,5.04115,4.05675,2.5e-05,2.5e-05,2.5e-05
2,44.6467,1.5231,10.3896,0.73104,4.37525,2.0408,0.00501,0.83333,0.15339,0.03383,0,0,0,0,2.05277,10.3405,0.68666,5.03694,4.00225,6.18813e-05,6.18813e-05,6.18813e-05
3,66.7682,1.41341,10.392,0.73075,4.29953,1.92882,0.63235,0.64772,0.5211,0.22776,0,0,0,0,1.98164,10.1742,0.68293,3.47018,3.94295,9.802e-05,9.802e-05,9.802e-05
4,90.1611,1.35231,9.94358,0.73223,3.49059,1.7082,0.63829,0.47092,0.45426,0.20893,0,0,0,0,1.87446,10.28,0.68073,3.37087,4.22043,0.000133416,0.000133416,0.000133416
5,112.962,1.08525,9.98668,0.7289,3.14962,1.47994,0.80892,0.44444,0.72444,0.26378,0,0,0,0,2.01526,10.1471,0.6759,3.55243,3.8912,0.00016807,0.00016807,0.00016807
6,135.957,1.05522,9.76112,0.72907,2.87272,1.54165,0.69067,0.44444,0.76718,0.30333,0,0,0,0,1.94972,10.052,0.67796,4.24066,4.10275,0.000201981,0.000201981,0.000201981
7,157.979,0.98339,9.44828,0.73033,2.46075,1.38148,0.6762,0.44444,0.67722,0.26877,0,0,0,0,2.11995,9.90576,0.68463,3.6323,4.04486,0.00023515,0.00023515,0.00023515
8,179.016,1.00563,9.32806,0.74552,2.63036,1.47656,0.28048,0.90293,0.64232,0.26369,0,0,0,0,2.18776,9.8417,0.68575,3.21317,3.85813,0.000267576,0.000267576,0.000267576
9,199.906,0.93703,9.38265,0.72626,2.47251,1.37665,0.36632,0.83333,0.74467,0.32818,0,0,0,0,2.07242,9.64534,0.69218,3.22797,3.49304,0.00029926,0.00029926,0.00029926
10,224.838,0.90933,8.94842,0.72115,2.42708,1.34013,0.4154,0.83333,0.80333,0.3491,0,0,0,0,2.05599,9.51318,0.69594,3.66199,3.31553,0.000330201,0.000330201,0.000330201
11,248.393,0.99398,8.95383,0.70566,2.30818,1.42985,0.5329,0.80708,0.82367,0.34943,0,0,0,0,2.17399,9.27478,0.7055,2.73854,3.4561,0.0003604,0.0003604,0.0003604
12,272.353,0.97759,8.62289,0.72176,2.41203,1.43768,0.58883,0.81186,0.74117,0.28779,0,0,0,0,2.18139,9.15551,0.7126,2.94411,3.45073,0.000389856,0.000389856,0.000389856
13,294.559,0.93258,8.52126,0.72085,2.40282,1.40734,0.56889,0.66934,0.831,0.36353,0,0,0,0,2.13699,8.8154,0.75152,3.1982,3.22411,0.00041857,0.00041857,0.00041857
14,317.142,1.01477,8.41979,0.72815,1.99088,1.40022,0.45844,0.72552,0.85144,0.34142,0,0,0,0,2.25967,8.60628,0.77045,3.46276,3.27353,0.000446541,0.000446541,0.000446541
15,340.017,1.02276,8.77894,0.70136,2.41567,1.45521,0.49758,0.6081,0.72628,0.358,0,0,0,0,2.02898,8.72819,0.74017,2.85139,3.13872,0.00047377,0.00047377,0.00047377
16,362.372,1.0204,8.68105,0.70253,2.23635,1.51263,0.44739,0.61954,0.74111,0.352,0,0,0,0,2.20712,8.88634,0.7018,3.27486,3.12339,0.000500256,0.000500256,0.000500256
17,390.203,1.11717,8.49242,0.71975,2.26522,1.47964,0.73357,0.44444,0.42588,0.18584,0,0,0,0,2.37839,8.99032,0.68162,3.74555,3.37287,0.000526,0.000526,0.000526
18,412.274,1.00931,8.14658,0.69618,2.22289,1.39885,0.72542,0.44444,0.5312,0.21669,0,0,0,0,2.4224,8.82085,0.69248,3.78818,3.51433,0.000551001,0.000551001,0.000551001
19,436.161,0.98451,8.11297,0.69406,1.99979,1.36057,0.61532,0.44444,0.56742,0.22208,0,0,0,0,2.41633,8.41508,0.71114,2.99254,3.26223,0.00057526,0.00057526,0.00057526
20,457.031,0.95497,8.29633,0.69151,2.13786,1.35295,0.62603,0.63248,0.60806,0.26188,0,0,0,0,2.36322,8.25923,0.72954,2.73534,3.26512,0.000598776,0.000598776,0.000598776
21,480.062,0.88053,8.45956,0.68169,1.74336,1.30171,0.82793,0.44444,0.59739,0.26231,0,0,0,0,2.24182,8.08161,0.73109,2.76685,3.03788,0.00062155,0.00062155,0.00062155
22,506.703,0.91979,8.19995,0.67321,2.02072,1.29905,0.77087,0.55556,0.66054,0.27568,0,0,0,0,2.25627,8.05231,0.72432,2.3053,2.99212,0.000643581,0.000643581,0.000643581
23,529.528,0.99954,8.1545,0.6939,1.97241,1.36031,0.52247,0.74449,0.80167,0.35342,0,0,0,0,2.14136,8.19079,0.71453,2.14878,2.78569,0.00066487,0.00066487,0.00066487
24,551.68,0.88784,7.93706,0.67574,1.53567,1.2435,0.61967,0.61111,0.73132,0.28701,0,0,0,0,2.22593,8.4426,0.68726,2.32939,2.62073,0.000685416,0.000685416,0.000685416
25,572.94,0.93229,7.97154,0.66403,1.81587,1.32885,0.64211,0.61111,0.7181,0.32929,0,0,0,0,2.11232,8.32738,0.68799,2.30822,2.7095,0.00070522,0.00070522,0.00070522
26,594.542,0.99695,7.75008,0.67157,1.87336,1.42402,0.48384,0.79313,0.71512,0.33375,0,0,0,0,2.19844,7.90103,0.69925,2.13311,3.25213,0.000724281,0.000724281,0.000724281
27,615.27,1.12077,8.02071,0.63595,1.85837,1.41074,0.36481,0.83333,0.64746,0.27061,0,0,0,0,2.09498,7.73309,0.71313,2.40598,2.98757,0.0007426,0.0007426,0.0007426
28,635.615,0.86315,8.09193,0.63327,1.72356,1.28714,0.42224,0.83333,0.59078,0.24163,0,0,0,0,2.17025,7.59189,0.70439,2.64396,2.94218,0.000760176,0.000760176,0.000760176
29,656.964,0.97189,7.56602,0.64551,1.61382,1.34143,0.42224,0.83333,0.59078,0.24163,0,0,0,0,2.17025,7.59189,0.70439,2.64396,2.94218,0.00077701,0.00077701,0.00077701
30,677.853,0.85561,7.80755,0.63878,1.61783,1.27038,0.33906,0.78301,0.57357,0.22523,0,0,0,0,2.14516,7.83854,0.67612,2.31055,2.72581,0.000793101,0.000793101,0.000793101
31,699.224,0.98749,7.94397,0.63646,1.77497,1.36008,0.36544,0.77881,0.51969,0.21346,0,0,0,0,2.23316,8.23546,0.65429,1.91333,2.71563,0.00080845,0.00080845,0.00080845
32,720.264,0.98185,7.69027,0.61841,1.68715,1.36583,0.36575,0.44444,0.54386,0.23881,0,0,0,0,2.25677,8.74933,0.64383,1.97248,2.59438,0.000823056,0.000823056,0.000823056
33,740.626,0.94695,7.82624,0.62027,1.58997,1.2815,0.36575,0.44444,0.54386,0.23881,0,0,0,0,2.25677,8.74933,0.64383,1.97248,2.59438,0.00083692,0.00083692,0.00083692
